date,slot,price_yuan_per_kwh_difference,adjusted_kwh_difference,energy_after_kwh_difference
2025-12-21,110,-0.0165,18.464,51.0994804398
2025-12-21,111,-0.0415,-18.4550829641,62.158466002
2025-12-21,112,0.0412,-1041.00284194,-120.0947999
2025-12-21,113,0.1748,0,-103.761096196
2025-12-21,114,0.2136,0,-92.2042840134
2025-12-21,115,0.1821,0,-86.58298473
2025-12-21,116,0.1364,0,-77.4062254707
2025-12-21,117,0.1181,0,-65.7882500325
2025-12-21,118,0.1566,0,-59.7397456987
2025-12-21,119,0.2001,0,-50.2338197727
2025-12-21,120,0.1624,0,-32.4534327357
2025-12-21,121,0.1254,0,-25.1092964671
2025-12-21,122,0.1391,0,-7.41413148148
2025-12-21,123,0.1664,0,4.41031851852
2025-12-21,124,0.1239,-73.24131,0
2025-12-21,125,0.0269,-61.2395,4.4775
2025-12-21,126,-0.0239,-84.72078,3.463832
2025-12-21,127,-0.022,-96.70807,3.463832
2025-12-21,128,-0.0026,-174.3365,0.412443111112
2025-12-21,129,-0.0056,-95.3158519,-1.11533131481
2025-12-21,130,-0.0218,-57.652160461,0
2025-12-21,131,-0.0208,-4904.8745,-730.229877723
2025-12-21,132,0.0173,-4924.868505,-1464.11314947
2025-12-21,133,0.0379,-110.763265,-1471.71120486
2025-12-21,134,0.0125,-4886.494,-2194.04617986
2025-12-21,135,-0.0281,-4934.519595,-2927.04282411
2025-12-21,136,-0.0036,-4915.80627,-3658.62906936
2025-12-21,137,0.0501,-5000,-4391.68627955
2025-12-21,138,0.0223,-4940.54499654,-5124.39067366
2025-12-21,139,0.0074,-4938.06503,-5855.02512091
2025-12-21,140,0.0282,-5041.1055,-6599.85623109
2025-12-21,141,0.0094,-5064.273979,-7348.98006692
2025-12-21,142,-0.0211,-132.57758,-7359.48940019
2025-12-21,143,-0.0244,-204.346,-7376.95660575
