period,interval,start_minute,end_minute,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,grid_kwh,charge_kwh,discharge_kwh,curtailment_kwh,energy_start_kwh,energy_end_kwh,soc_end,cost_yuan,no_storage_grid_kwh,no_storage_cost_yuan,mode
129,21:20-21:30,1280,1290,0.9371,4322.6758,0.0,720.4459666666667,0.0,720.4459666666667,0.0,0.0,0.0,1200.0,1200.0,0.1,675.1299153633333,720.4459666666667,675.1299153633333,待机
130,21:30-21:40,1290,1300,0.9871,4428.8083,0.0,738.1347166666666,0.0,738.1347166666666,0.0,0.0,0.0,1200.0,1200.0,0.1,728.6127788216666,738.1347166666666,728.6127788216666,待机
131,21:40-21:50,1300,1310,0.7764,4030.1614,0.0,671.6935666666666,0.0,671.6935666666666,0.0,0.0,0.0,1200.0,1200.0,0.1,521.5028851599999,671.6935666666666,521.5028851599999,待机
132,21:50-22:00,1310,1320,0.4209,3362.7419,0.0,560.4569833333333,0.0,1393.7903166666665,833.3333333333333,0.0,0.0,1200.0,1950.0,0.1625,586.6463442849999,560.4569833333333,235.89634428499997,充电
133,22:00-22:10,1320,1330,0.3859,3309.3934,0.0,551.5655666666667,0.0,1384.8989,833.3333333333333,0.0,0.0,1950.0,2700.0,0.225,534.43248551,551.5655666666667,212.84915217666668,充电
134,22:10-22:20,1330,1340,0.4368,3412.9563,0.0,568.8260499999999,0.0,568.8260499999999,0.0,0.0,0.0,2700.0,2700.0,0.225,248.46321863999998,568.8260499999999,248.46321863999998,待机
135,22:20-22:30,1340,1350,0.4198,3381.9313,0.0,563.6552166666667,0.0,1396.98855,833.3333333333333,0.0,0.0,2700.0,3450.0,0.2875,586.45579329,563.6552166666667,236.62245995666666,充电
136,22:30-22:40,1350,1360,0.4186,3386.5592,0.0,564.4265333333333,0.0,1397.7598666666665,833.3333333333333,0.0,0.0,3450.0,4200.0,0.35,585.1022801866667,564.4265333333333,236.26894685333332,充电
137,22:40-22:50,1360,1370,0.4241,3400.4846,0.0,566.7474333333332,0.0,566.7474333333332,0.0,0.0,0.0,4200.0,4200.0,0.35,240.3575864766666,566.7474333333332,240.3575864766666,待机
138,22:50-23:00,1370,1380,0.4237,3399.2426,0.0,566.5404333333333,0.0,1399.8737666666666,833.3333333333333,0.0,0.0,4200.0,4950.0,0.4125,593.1265149366667,566.5404333333333,240.04318160333335,充电
139,23:00-23:10,1380,1390,0.4248,3406.9809,0.0,567.83015,0.0,567.83015,0.0,0.0,0.0,4950.0,4950.0,0.4125,241.21424772,567.83015,241.21424772,待机
140,23:10-23:20,1390,1400,0.424,3416.1518,0.0,569.3586333333333,0.0,902.6919666666665,333.3333333333333,0.0,0.0,4950.0,5250.0,0.4375,382.7413938666666,569.3586333333333,241.4080605333333,充电
141,23:20-23:30,1400,1410,0.422,3421.9811,0.0,570.3301833333333,0.0,1403.6635166666665,833.3333333333333,0.0,0.0,5250.0,6000.0,0.5,592.3460040333332,570.3301833333333,240.67933736666663,充电
142,23:30-23:40,1410,1420,0.424,3429.6923,0.0,571.6153833333333,0.0,571.6153833333333,0.0,0.0,0.0,6000.0,6000.0,0.5,242.3649225333333,571.6153833333333,242.3649225333333,待机
143,23:40-23:50,1420,1430,0.4271,3439.061,0.0,573.1768333333333,0.0,573.1768333333333,0.0,0.0,0.0,6000.0,6000.0,0.5,244.80382551666665,573.1768333333333,244.80382551666665,待机
144,23:50-24:00,1430,1440,0.4276,3444.7259,0.0,574.1209833333332,0.0,574.1209833333332,0.0,0.0,0.0,6000.0,6000.0,0.5,245.49413247333328,574.1209833333332,245.49413247333328,待机
